Algorithm: Kruskal's MST
MST edges:
9517 35457 1
9522 21236 1
9542 32898 1
9548 14575 1
9566 25657 1
9584 36405 1
9592 27603 1
9597 24695 1
9624 19845 1
9644 16139 1
9646 26264 1
9681 12584 1
9704 20242 1
9728 30401 1
9730 41257 1
9759 37283 1
9765 14814 1
9791 30692 1
9882 11143 1
9939 41223 1
9940 12777 1
9972 12045 1
9979 44494 1
9980 42112 1
9994 39600 1
10008 13689 1
10014 46541 1
10025 33116 1
10035 36399 1
10042 19151 1
10057 20822 1
10072 29988 1
10087 47005 1
10110 18394 1
10117 12545 1
10130 20643 1
10141 16347 1
10151 11263 1
10259 28930 1
10276 19085 1
10281 25320 1
10303 15929 1
10305 37991 1
10319 24166 1
10321 22190 1
10358 26428 1
10363 49330 1
10371 40027 1
10395 49251 1
10399 33776 1
10516 20562 1
10558 15759 1
10580 26729 1
10625 49225 1
10642 31295 1
10647 36047 1
10674 28889 1
10698 21502 1
10699 48784 1
10703 39334 1
10728 41079 1
10772 33430 1
10809 34129 1
10840 16370 1
10846 24707 1
10857 33816 1
10863 26301 1
10866 44504 1
10922 24679 1
10930 42524 1
10968 15630 1
10970 18437 1
10973 33197 1
11019 37076 1
11039 15787 1
11062 23211 1
11091 14393 1
11105 27853 1
11113 24083 1
11129 24092 1
11177 15377 1
11187 27175 1
11196 27985 1
11199 11291 1
11210 16786 1
11239 15146 1
11261 45090 1
11293 12362 1
11338 43361 1
11351 20441 1
11425 12908 1
11512 31415 1
11516 25332 1
11521 36450 1
11524 46315 1
11553 38449 1
11564 21333 1
11580 13131 1
11580 45289 1
11590 32231 1
11630 44215 1
11632 17201 1
11650 15089 1
11652 29934 1
11657 35629 1
11682 22458 1
11697 27874 1
11710 46292 1
11742 36786 1
11754 25333 1
11762 18182 1
11762 41182 1
11839 16031 1
11896 23822 1
11915 28825 1
11926 48335 1
11945 18414 1
11987 21482 1
11990 44263 1
12046 42039 1
12064 16080 1
12105 18151 1
12105 29156 1
12132 39094 1
12178 36738 1
12185 32329 1
12241 33110 1
12291 19078 1
12300 21943 1
12350 38150 1
12363 22956 1
12368 33641 1
12380 47932 1
12391 15957 1
12416 16539 1
12419 27981 1
12424 13465 1
12454 37765 1
12455 15605 1
12502 26075 1
12517 32939 1
12580 22625 1
12603 42744 1
12659 47963 1
12660 34417 1
12691 15255 1
12764 47748 1
12775 34780 1
12811 30189 1
12813 32782 1
12816 39718 1
12830 19096 1
12933 19173 1
12936 17247 1
12966 49187 1
13007 14285 1
13015 19137 1
13019 37824 1
13074 43068 1
13118 21064 1
13130 42176 1
13153 33893 1
13158 16457 1
13165 17323 1
13201 24100 1
13217 29351 1
13243 23810 1
13245 45780 1
13279 35640 1
13285 27797 1
13303 14628 1
13311 22372 1
13318 47642 1
13336 13894 1
13391 39192 1
13421 34131 1
13431 20015 1
13443 39744 1
13472 48201 1
13487 44906 1
13495 18728 1
13544 39930 1
13585 39095 1
13612 46915 1
13676 22759 1
13691 23098 1
13693 48009 1
13732 17518 1
13734 31939 1
13757 43352 1
13782 37172 1
13789 31143 1
13814 48713 1
13872 15329 1
13886 16726 1
13910 16125 1
13917 38506 1
13921 33257 1
13933 21620 1
13950 49299 1
14028 49592 1
14057 27893 1
14076 27565 1
14138 21836 1
14144 36531 1
14234 32137 1
14259 19380 1
14271 19857 1
14273 31540 1
14299 42965 1
14325 15971 1
14351 47605 1
14366 27015 1
14385 22116 1
14467 42553 1
14480 23698 1
14494 31101 1
14503 17896 1
14533 29781 1
14564 25312 1
14607 20974 1
14609 15920 1
14618 29030 1
14628 17297 1
14632 37053 1
14659 46282 1
14753 19424 1
14769 21424 1
14776 17449 1
14863 21474 1
14879 48799 1
14890 48790 1
14914 15073 1
14916 30057 1
14933 34203 1
14959 38469 1
14974 24477 1
14977 35652 1
14980 20063 1
15026 27641 1
15041 27285 1
15108 47561 1
15131 45208 1
15142 18650 1
15178 22369 1
15183 34133 1
15187 24046 1
15195 16224 1
15209 29217 1
15212 37116 1
15282 28559 1
15322 30860 1
15328 32830 1
15373 20266 1
15380 32602 1
15412 29387 1
15424 46806 1
15440 18286 1
15441 28837 1
15464 16001 1
